Address,Status Code,Status,Indexability,Indexability Status,Title 1,Meta Description 1,H1-1,Canonical Link Element 1,Word Count,Crawl Depth,Inlinks,Redirect URL,Sessions
https://brightwaterplumbing.com.au/,200,OK,Indexable,,"Melbourne Plumbers | 24/7 Emergency Plumbing | Brightwater Plumbing","Licensed Melbourne plumbers available 24/7 for emergency repairs, hot water, gas fitting and blocked drains. Call Brightwater Plumbing today.","Melbourne's 24/7 Plumbing Team",https://brightwaterplumbing.com.au/,820,0,57,,4210
https://brightwaterplumbing.com.au/services,200,OK,Indexable,,"Our Plumbing Services in Melbourne | Brightwater Plumbing","Explore the full range of plumbing services Brightwater Plumbing offers across Melbourne, from emergency repairs to hot water installation.","Plumbing Services",https://brightwaterplumbing.com.au/services,640,1,41,,1120
https://brightwaterplumbing.com.au/pricing,200,OK,Indexable,,"Plumbing Prices Melbourne | Upfront Quotes | Brightwater Plumbing","See upfront plumbing prices for Melbourne homes and businesses. No hidden fees. Get a fast quote from Brightwater Plumbing.","Our Pricing",https://brightwaterplumbing.com.au/pricing,610,1,18,,640
https://brightwaterplumbing.com.au/contact,200,OK,Indexable,,"Contact Brightwater Plumbing | Melbourne Plumbers","Get in touch with Brightwater Plumbing. Call our Melbourne team or book a plumber online for a fast response.","Contact Us",https://brightwaterplumbing.com.au/contact,300,1,22,,
https://brightwaterplumbing.com.au/blog,200,OK,Indexable,,"Plumbing Tips and Advice | Brightwater Plumbing Blog","Practical plumbing tips and advice for Melbourne homeowners from the licensed team at Brightwater Plumbing.","From the Blog",https://brightwaterplumbing.com.au/blog,410,1,30,,420
https://brightwaterplumbing.com.au/reviews,200,OK,Indexable,,"Customer Reviews | Brightwater Plumbing Melbourne","Read real reviews from Melbourne customers who have used Brightwater Plumbing for emergency and general plumbing work.","What Our Customers Say",https://brightwaterplumbing.com.au/reviews,290,1,12,,
https://brightwaterplumbing.com.au/our-team,200,OK,Indexable,,"Meet the Team | Brightwater Plumbing","Meet the licensed plumbers behind Brightwater Plumbing and the work we do across Melbourne.","Our Team",https://brightwaterplumbing.com.au/our-team,330,2,7,,
https://brightwaterplumbing.com.au/faq,200,OK,Indexable,,"Plumbing FAQs | Brightwater Plumbing Melbourne","Answers to common plumbing questions from Melbourne homeowners, covering pricing, emergencies, hot water and more.","Frequently Asked Questions",https://brightwaterplumbing.com.au/faq,520,2,9,,
https://brightwaterplumbing.com.au/emergency-plumbing-melbourne,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,2,3,https://brightwaterplumbing.com.au/services/emergency-plumbing,2980
https://brightwaterplumbing.com.au/services/emergency-plumbing,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,2,4,https://brightwaterplumbing.com.au/services/emergency-plumber,210
